City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mwanza,-2.5167,32.9,23.78,61,70,1.15,TZ,1691705671
83,san jeronimo de juarez,17.1333,-100.4667,30.81,70,94,3.09,MX,1691705794
84,sao vicente,-23.9631,-46.3919,25.15,26,19,1.81,BR,1691705795
85,praia da vitoria,38.7333,-27.0667,23.2,88,40,3.47,PT,1691705795
86,exeter,50.7236,-3.5275,18.81,93,40,4.12,GB,1691705795
87,villa gesell,-37.2639,-56.973,13.36,91,100,5.29,AR,1691705795
88,college,64.8569,-147.8028,21.78,80,75,0.0,US,1691705795
89,gamba,-2.65,10.0,21.63,94,13,2.09,GA,1691705795
90,utrik,11.2278,169.8474,27.79,71,10,5.02,MH,1691705730
91,zherdevka,51.8486,41.4606,20.9,63,83,3.76,RU,1691705795
92,beitbridge,-22.2167,30.0,17.2,46,77,4.64,ZW,1691705795
93,puerto santa,-8.9906,-78.6456,20.51,78,14,6.23,PE,1691705795
94,polyarnyy,69.1989,33.4478,16.82,75,0,5.31,RU,1691705795
95,sinabang,2.4803,96.3801,25.99,84,100,2.25,ID,1691705795
96,stony plain,53.5334,-114.0021,20.96,58,40,9.77,CA,1691705554
97,kendari,-3.945,122.4989,21.91,94,66,1.22,ID,1691705796
98,amga,60.8953,131.9608,16.25,92,6,1.36,RU,1691705756
99,vilyuchinsk,52.9306,158.4028,14.15,72,73,0.48,RU,1691705796
100,nizhneudinsk,54.9076,99.0276,12.47,89,4,1.54,RU,1691705796
101,st. john's,47.5649,-52.7093,20.71,88,75,3.09,CA,1691705583
102,santa vitoria do palmar,-33.5189,-53.3681,16.85,90,100,2.84,BR,1691705796
103,hasaki,35.7333,140.8333,27.38,86,15,5.17,JP,1691705796
104,alaghsas,17.0187,8.0168,30.28,48,98,2.52,NE,1691705796
105,kapuskasing,49.4169,-82.4331,18.05,77,40,2.57,CA,1691705796
106,vyazemskiy,47.5378,134.7525,18.87,99,100,1.53,RU,1691705796
107,minas de marcona,-15.2119,-75.1103,14.37,79,34,6.78,PE,1691705797
108,capao da canoa,-29.7456,-50.0097,18.35,94,14,3.45,BR,1691705797
